# Defects4J source-compliance levels (-javacompliancelevel), used by run-astor.
# Source: program-repair/RepairThemAll @ e902cf54f84a059379d9abfd6159d502963511cc
#   data/benchmarks/defects4j/<project>.json .complianceLevel[<bug>].source
# Columns: Project<TAB>Bug<TAB>SourceCompliance . Regenerate with scripts/gen-compliance-table.
Chart	1	4
Chart	2	4
Chart	3	4
Chart	4	4
Chart	5	4
Chart	6	4
Chart	7	4
Chart	8	4
Chart	9	4
Chart	10	4
Chart	11	4
Chart	12	4
Chart	13	4
Chart	14	4
Chart	15	4
Chart	16	4
Chart	17	4
Chart	18	4
Chart	19	4
Chart	20	4
Chart	21	4
Chart	22	4
Chart	23	4
Chart	24	4
Chart	25	4
Chart	26	4
Closure	1	6
Closure	2	6
Closure	3	6
Closure	4	6
Closure	5	6
Closure	6	6
Closure	7	6
Closure	8	6
Closure	9	6
Closure	10	6
Closure	11	6
Closure	12	6
Closure	13	6
Closure	14	6
Closure	15	6
Closure	16	6
Closure	17	6
Closure	18	6
Closure	19	6
Closure	20	6
Closure	21	6
Closure	22	6
Closure	23	6
Closure	24	6
Closure	25	6
Closure	26	6
Closure	27	6
Closure	28	6
Closure	29	6
Closure	30	6
Closure	31	6
Closure	32	6
Closure	33	6
Closure	34	6
Closure	35	6
Closure	36	6
Closure	37	6
Closure	38	6
Closure	39	6
Closure	40	6
Closure	41	6
Closure	42	6
Closure	43	6
Closure	44	6
Closure	45	6
Closure	46	6
Closure	47	6
Closure	48	6
Closure	49	6
Closure	50	6
Closure	51	6
Closure	52	6
Closure	53	6
Closure	54	6
Closure	55	6
Closure	56	6
Closure	57	6
Closure	58	6
Closure	59	6
Closure	60	6
Closure	61	6
Closure	62	6
Closure	63	6
Closure	64	6
Closure	65	6
Closure	66	6
Closure	67	6
Closure	68	6
Closure	69	6
Closure	70	6
Closure	71	6
Closure	72	6
Closure	73	6
Closure	74	6
Closure	75	6
Closure	76	6
Closure	77	6
Closure	78	6
Closure	79	7
Closure	80	7
Closure	81	7
Closure	82	7
Closure	83	7
Closure	84	7
Closure	85	7
Closure	86	7
Closure	87	7
Closure	88	7
Closure	89	7
Closure	90	7
Closure	91	7
Closure	92	7
Closure	93	7
Closure	94	7
Closure	95	7
Closure	96	7
Closure	97	7
Closure	98	7
Closure	99	7
Closure	100	7
Closure	101	7
Closure	102	7
Closure	103	7
Closure	104	7
Closure	105	7
Closure	106	7
Closure	107	7
Closure	108	7
Closure	109	6
Closure	110	6
Closure	111	6
Closure	112	6
Closure	113	6
Closure	114	6
Closure	115	6
Closure	116	6
Closure	117	6
Closure	118	6
Closure	119	6
Closure	120	6
Closure	121	6
